target,created_at,date,time,username,tweet,,,,,,,,,,,,,,,,,,,,,,,,,
0,1588360132000,2020-05-01,22:08:52,mustafanarlder3,Hani herkez Vodafone pişmanlıktır diyordu yaa bence şuan @Turkcell pişmanlıktır. Bu ne abi ya yaklaşık 2 aydır mobil verimi kullanamıyorum bi oyuna giriyorum ms700’ü asla düşmüyor müşteri temsilcisini defalarca aramama rağmen telefonum açılmıyor @Turkcell,,,,,,,,,,,,,,,,,,,,,,,,,
0,1588360082000,2020-05-01,22:08:02,gunesmikail3634,@mvholding @soneraholding @TurkcellHizmet @Turkcell benim bu internet sorunum için neden yardımcı olmuyorsunuz. Hep bir bahane içerisindesiniz. Pazartesi tüketici hakem heyetine gitmek zorunda kalıcam çünkü siz konuşarak anlamıyorsunuz. İmajınız sıfır oldu.  pic.twitter.com/D1ZOdNNCKA,,,,,,,,,,,,,,,,,,,,,,,,,
0,1588360064000,2020-05-01,22:07:44,elprofsr,"merhaba bu internet neden çok yavaş bu zor zamanda  faturasını günü gelince gönderiyorsunuz  hak yemeyin.AMA Hizmete gelince sınıfta kalıyorsunuz.Bu mağduriyetimi gidermezseniz aboneliğimi iptal ettircem dost ve akrabalarada tavsiye etmicem bilginize 
@TurkcellHizmet @Turkcell  pic.twitter.com/HBwpWsFZAm",,,,,,,,,,,,,,,,,,,,,,,,,
0,1588359975000,2020-05-01,22:06:15,carmen77390903,İflas et inşallah. Lanet olsun senin çekmeyen internetine,,,,,,,,,,,,,,,,,,,,,,,,,
0,1588359891000,2020-05-01,22:04:51,carmen77390903,Rabbim iflas ettiğini gösterir inşallah ! Lanet olsun senin internetine verdiğim paralar haram zıkkım olsun @Turkcell,,,,,,,,,,,,,,,,,,,,,,,,,
0,1588359888000,2020-05-01,22:04:48,engingm74346673,@varank sayın bakanım Turkcell usule uygun davranmıyor sizin yetki alanızda olduğu için size yazıyorum.üst üste aldığım paketler altta öyle kurnazca bir davranış ki iki paketten de veri alıyor ilk 5 günü kalan paketten yemesi gerekirken ikisinden de yiyor bu ne kadar dürüstçe?  pic.twitter.com/p1bvMs3YNY,,,,,,,,,,,,,,,,,,,,,,,,,
0,1588359193000,2020-05-01,21:53:13,birkanyurtlu,20 gündür TV plus aboneliğimi yapamadınız bu nasıl bir hizmet anlayışı. Evde kalıyoruz diye talep ettik Kesinlikle tavsiye etmiyorum  @Turkcell @SuperYardim @TurkcellHizmet,,,,,,,,,,,,,,,,,,,,,,,,,
0,1588357504000,2020-05-01,21:25:04,sendemisezar1,"Haftalardır telefon tek diş çekiyor, Vodafone kullanan arkadaşlarım da problem yok, Turkcell eski Turkcell değil yatırım yapın biraz saçma sapan reklam yapacağınıza",,,,,,,,,,,,,,,,,,,,,,,,,
0,1588355540000,2020-05-01,20:52:20,ayvayi7im,Hem haftada iki olan salla kazan hakkımızı bire düşürdün hemde saatlik saçma sapan hediye veriyorsun @TurkcellHizmet sıkıldım gerçekten senden birde inanılmaz pahalısın çekmiyosun yavaşsın ilk fırsatta ayrılıyorum senden turkcell mesela pazartesi,,,,,,,,,,,,,,,,,,,,,,,,,
0,1588355091000,2020-05-01,20:44:51,bubendegilim3,@Turkcell evde hayat var ama turkcelli olunca dünyanın en güzel yerinde bile hayat yok.,,,,,,,,,,,,,,,,,,,,,,,,,
