target,created_at,date,time,username,tweet,,,,,,,,,,,,,,,,,,,,,,,,,
4,1588360188000,2020-05-01,22:09:48,gokdemireylem,Hep bakıcısın keşke biraz da alıcı olsan🙃 @Turkcell  pic.twitter.com/0hn3Vco6wa,,,,,,,,,,,,,,,,,,,,,,,,,
4,1588359535000,2020-05-01,21:58:55,rumeysademirci_,Teşekkürler🥰 @Turkcell  pic.twitter.com/lRldUNTHlo,,,,,,,,,,,,,,,,,,,,,,,,,
4,1588359234000,2020-05-01,21:53:54,oneydibilemedim,ahaha çok iyi ama çok sık yapma Turkcell ile kavga ederler bu sefer dkdkdkd,,,,,,,,,,,,,,,,,,,,,,,,,
4,1588359208000,2020-05-01,21:53:28,asilfermandar,@turktelekom günümüzün en büyük dolandırıcılık şirketi olarak ödül almalı yol içinde toplam 2 ay hizmet vermeden 12 ay ücretini alıyor aklı olan taahhüt vermez Turkcell veya Vodafone limitinizi yükseltip devam etmeniz en hayırlısı,,,,,,,,,,,,,,,,,,,,,,,,,
4,1588358888000,2020-05-01,21:48:08,saralesmanur,@Turkcell çok pişmanım beni affet,,,,,,,,,,,,,,,,,,,,,,,,,
4,1588358800000,2020-05-01,21:46:40,gulsaaaak,Turkcell’den mesaj geldi salla kazanını numaranın sonunu babam sanıp”aaaa baba ne gerek vardı”diyorum anlamsız bi şekilde suratıma bakıyo...meğersem babam değil erkek arkadaşım yollamış bu da böyle bi anımdır,,,,,,,,,,,,,,,,,,,,,,,,,
4,1588357939000,2020-05-01,21:32:19,eciban,Hâlâ var mı bilmiyorum ama eskiden Turkcell Ramazan-ı Şerîf'te mesaj gönderirdi. Bi gün ablamın telefonuna mesaj geldi. Ablam telefona baksana kimden gelmiş dedi. Ben de gayri ihtiyârî 'Ramazan diye birinden' dedim. Babamın ablama bir bakışı vardı unutamıyorum ahahhajahah,,,,,,,,,,,,,,,,,,,,,,,,,
4,1588357798000,2020-05-01,21:29:58,kafasimyacisi,Merhaba Turkcell ben sizden memnunum bu tartışmaya dahil olmak istemem . Barış sen de memnun değilsen vodafone a geç,,,,,,,,,,,,,,,,,,,,,,,,,
4,1588357683000,2020-05-01,21:28:03,dr_tolgasahin,@Turkcell den her ay 5 GB  pic.twitter.com/N8UriCe3VK,,,,,,,,,,,,,,,,,,,,,,,,,
4,1588357373000,2020-05-01,21:22:53,soner_turkmen,Vodafondan Turkcell geçiş yapmak istiyorum fakat cayma bedeli çıkıyor bu konuda destek olurmusunuz,,,,,,,,,,,,,,,,,,,,,,,,,
4,1588357178000,2020-05-01,21:19:38,selcuk_aykutalp,Siz ne kadar güçlüsünüz diye test ediyorlar sizin gücünüz @Turkcell in gücü,,,,,,,,,,,,,,,,,,,,,,,,,
4,1588357157000,2020-05-01,21:19:17,kucukgozmurat,@Turkcell merhaba ben evime internet bağlatmak istiyorum altyapı yokdeniliyor ne yapmam gerek,,,,,,,,,,,,,,,,,,,,,,,,,
4,1588356603000,2020-05-01,21:10:03,ulasekremerors,"Turkcell,Türk Telekom ve Vodafone su internet paketleri kapsaminiza Netflix de geçerli şu kadar GB diye kampanya çıkarsanız da bizde o tarifelere geçiş yapsak nasıl olur ?",,,,,,,,,,,,,,,,,,,,,,,,,
4,1588356445000,2020-05-01,21:07:25,edo_331,"#telekom #Turkcell 

Siz olsanız hangisini tercih edersiniz,,

Benim üzerimde 6 hat vardı ben yaptım tercihimi,,

Arkadaşımın biri de yapmak istiyor hat alacak fayfadi olur inşallah",,,,,,,,,,,,,,,,,,,,,,,,,
